City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Port Elizabeth,ZA,2022-01-24 03:15:43,-33.918,25.5701,64.69,82,0,5.75
1,Morristown,US,2022-01-24 03:06:29,36.214,-83.2949,39.34,62,100,9.22
2,Dingle,PH,2022-01-24 03:19:33,10.9995,122.6711,83.52,74,71,11.99
3,Port Hardy,CA,2022-01-24 03:08:19,50.6996,-127.4199,41.76,79,99,5.59
4,Bethel,US,2022-01-24 03:19:33,41.3712,-73.414,31.05,87,100,0.0
5,Cape Town,ZA,2022-01-24 03:15:12,-33.9258,18.4232,69.28,89,75,6.91
6,Hermanus,ZA,2022-01-24 03:16:15,-34.4187,19.2345,67.89,90,98,7.52
7,Jamestown,US,2022-01-24 03:19:34,42.097,-79.2353,15.71,92,100,3.44
8,Tuktoyaktuk,CA,2022-01-24 03:19:35,69.4541,-133.0374,-2.2,84,75,9.22
9,Mataura,NZ,2022-01-24 03:19:35,-46.1927,168.8643,65.48,32,7,5.01
10,Vila Velha,BR,2022-01-24 03:19:35,-20.3297,-40.2925,76.44,89,40,4.61
11,Banff,CA,2022-01-24 03:19:36,51.1762,-115.5698,36.63,98,44,5.37
12,Ossora,RU,2022-01-24 03:19:36,59.2353,163.0719,-11.49,87,2,2.86
13,Clyde River,CA,2022-01-24 03:19:36,70.4692,-68.5914,-3.77,84,100,32.21
14,Ilhabela,BR,2022-01-24 03:19:37,-23.7781,-45.3581,76.82,91,36,7.2
15,Atasu,KZ,2022-01-24 03:19:37,48.6814,71.6433,3.42,86,100,6.26
16,Port Alfred,ZA,2022-01-24 03:19:37,-33.5906,26.891,72.99,62,0,10.0
17,Ilulissat,GL,2022-01-24 03:19:38,69.2167,-51.1,15.82,45,100,24.16
18,Zhigansk,RU,2022-01-24 03:16:28,66.7697,123.3711,-6.54,98,100,9.46
19,Lazaro Cardenas,MX,2022-01-24 03:19:38,17.9583,-102.2,75.38,71,28,4.99
20,Huaraz,PE,2022-01-24 03:15:10,-9.5333,-77.5333,53.64,84,95,2.73
21,Ribeira Grande,PT,2022-01-24 03:19:39,38.5167,-28.7,59.7,66,5,6.35
22,Matara,LK,2022-01-24 03:19:39,5.9485,80.5353,76.87,79,99,4.74
23,Nome,US,2022-01-24 03:19:39,64.5011,-165.4064,8.67,67,0,11.5
24,Rameswaram,IN,2022-01-24 03:19:40,9.2833,79.3,79.65,77,100,13.4
25,Vila Franca Do Campo,PT,2022-01-24 03:19:40,37.7167,-25.4333,60.19,72,8,5.35
26,Busselton,AU,2022-01-24 03:19:41,-33.65,115.3333,75.52,47,30,17.83
27,Praia,CV,2022-01-24 03:15:00,14.9215,-23.5087,72.14,83,75,20.71
28,Koumac,NC,2022-01-24 03:19:41,-20.5667,164.2833,82.63,64,47,8.57
29,Dikson,RU,2022-01-24 03:19:41,73.5069,80.5464,-2.02,96,96,23.02
30,Stawell,AU,2022-01-24 03:19:42,-37.05,142.7667,92.75,19,99,13.29
31,Rikitea,PF,2022-01-24 03:19:42,-23.1203,-134.9692,78.35,71,100,15.5
32,Lima,PE,2022-01-24 03:17:27,-12.0432,-77.0282,71.38,71,0,9.22
33,Vanimo,PG,2022-01-24 03:19:43,-2.6741,141.3028,82.0,83,99,4.83
34,Kodiak,US,2022-01-24 03:19:43,57.79,-152.4072,42.31,81,100,16.11
35,Ushuaia,AR,2022-01-24 03:19:44,-54.8,-68.3,46.06,81,75,21.85
36,Udachnyy,RU,2022-01-24 03:19:44,66.4167,112.4,7.45,84,100,11.52
37,Rock Sound,BS,2022-01-24 03:19:44,24.9,-76.2,73.35,75,1,7.09
38,Puerto Ayora,EC,2022-01-24 03:19:45,-0.7393,-90.3518,73.83,88,94,9.4
39,North Battleford,CA,2022-01-24 03:19:45,52.7834,-108.2847,18.41,79,100,12.66
40,Punta Arenas,CL,2022-01-24 03:15:51,-53.15,-70.9167,48.31,61,20,21.85
41,Barrow,US,2022-01-24 03:19:45,71.2906,-156.7887,-2.18,78,0,8.05
42,Camana,PE,2022-01-24 03:19:46,-16.6228,-72.7111,72.32,84,99,7.11
43,Quang Ngai,VN,2022-01-24 03:19:46,15.1167,108.8,79.47,76,7,3.09
44,Ketchikan,US,2022-01-24 03:16:45,55.3422,-131.6461,43.27,100,100,6.91
45,Severo-Kurilsk,RU,2022-01-24 03:19:47,50.6789,156.125,26.92,70,93,11.21
46,Villena,ES,2022-01-24 03:19:47,38.6373,-0.8657,42.93,89,52,5.26
47,Codrington,AU,2022-01-24 03:19:47,-38.2667,141.9667,92.52,23,100,4.94
48,Guerrero Negro,MX,2022-01-24 03:19:48,27.9769,-114.0611,62.24,58,99,10.09
49,Qaanaaq,GL,2022-01-24 03:19:48,77.484,-69.3632,-3.96,79,100,3.98
50,Lander,US,2022-01-24 03:19:48,42.833,-108.7307,40.8,59,0,0.0
51,Katsuura,JP,2022-01-24 03:19:49,35.1333,140.3,51.19,60,100,21.0
52,Pacific Grove,US,2022-01-24 03:19:49,36.6177,-121.9166,56.8,64,0,1.99
53,Belaya Gora,RU,2022-01-24 03:19:49,68.5333,146.4167,-27.42,100,100,4.7
54,Nuzvid,IN,2022-01-24 03:19:50,16.7833,80.85,74.25,77,69,1.25
55,Cayenne,GF,2022-01-24 03:15:12,4.9333,-52.3333,78.1,88,100,1.99
56,Alta Floresta,BR,2022-01-24 03:19:50,-9.8756,-56.0861,70.45,98,58,3.65
57,Dunedin,NZ,2022-01-24 03:19:51,-45.8742,170.5036,56.8,93,95,1.01
58,Kavieng,PG,2022-01-24 03:19:51,-2.5744,150.7967,84.81,68,86,8.61
59,Tezu,IN,2022-01-24 03:19:12,27.9167,96.1667,63.91,40,87,2.57
60,Hobart,AU,2022-01-24 03:19:51,-42.8794,147.3294,84.11,59,100,1.01
61,Castro,BR,2022-01-24 03:19:51,-24.7911,-50.0119,64.94,95,60,2.51
62,Raffadali,IT,2022-01-24 03:19:52,37.4036,13.5331,40.59,73,1,5.66
63,Torbay,CA,2022-01-24 03:15:38,47.6666,-52.7314,26.58,87,75,10.36
64,Nikolskoye,RU,2022-01-24 03:19:52,59.7035,30.7861,27.88,94,100,9.08
65,Thompson,CA,2022-01-24 03:19:52,55.7435,-97.8558,-18.24,69,0,5.75
66,Arlit,NE,2022-01-24 03:19:53,18.7369,7.3853,56.12,25,0,5.21
67,Leninsk,RU,2022-01-24 03:19:53,48.7119,45.1994,15.66,91,100,13.78
68,Longyearbyen,SJ,2022-01-24 03:19:54,78.2186,15.6401,12.04,73,0,8.05
69,Kloulklubed,PW,2022-01-24 03:19:54,7.0419,134.2556,77.5,81,64,16.75
70,New Norfolk,AU,2022-01-24 03:19:54,-42.7826,147.0587,83.75,39,100,4.0
71,Taltal,CL,2022-01-24 03:19:54,-25.4,-70.4833,65.62,77,91,3.33
72,Poum,NC,2022-01-24 03:19:55,-20.2333,164.0167,80.38,69,100,12.19
73,Pevek,RU,2022-01-24 03:19:55,69.7008,170.3133,-11.6,96,100,19.75
74,Souillac,MU,2022-01-24 03:19:55,-20.5167,57.5167,84.36,94,40,0.0
75,Saint George,US,2022-01-24 03:16:33,37.1041,-113.5841,47.95,42,0,5.99
76,East London,ZA,2022-01-24 03:19:56,-33.0153,27.9116,70.74,83,0,6.91
77,Namibe,AO,2022-01-24 03:19:56,-15.1961,12.1522,74.14,87,88,3.78
78,Bluff,NZ,2022-01-24 03:19:57,-46.6,168.3333,65.8,61,13,7.85
79,Butaritari,KI,2022-01-24 03:19:57,3.0707,172.7902,82.44,77,100,19.71
80,Esperance,AU,2022-01-24 03:19:57,-33.8667,121.9,69.22,70,99,8.63
81,Mount Vernon,US,2022-01-24 03:19:58,40.9126,-73.8371,32.18,87,100,3.0
82,Casper,US,2022-01-24 03:17:08,42.8666,-106.3131,37.51,68,40,24.16
83,Berlevag,NO,2022-01-24 03:19:58,70.8578,29.0864,40.57,87,100,40.91
84,Straumen,NO,2022-01-24 03:19:58,63.8709,11.2999,44.62,69,100,15.88
85,Albany,US,2022-01-24 03:15:38,42.6001,-73.9662,22.8,87,87,4.59
86,Havre-Saint-Pierre,CA,2022-01-24 03:19:59,50.2334,-63.5986,19.99,92,100,11.5
87,Yellowknife,CA,2022-01-24 03:19:59,62.456,-114.3525,-21.44,76,0,6.91
88,Hilo,US,2022-01-24 03:19:59,19.7297,-155.09,74.25,86,1,1.01
89,Sola,VU,2022-01-24 03:20:00,-13.8833,167.55,90.27,66,75,9.22
90,Vaini,TO,2022-01-24 03:20:01,-21.2,-175.2,87.96,84,40,6.91
91,Santa Rosa,PH,2022-01-24 03:20:01,14.3122,121.1114,87.78,72,54,6.96
92,Airai,TL,2022-01-24 03:20:02,-8.9266,125.4092,74.95,60,95,4.16
93,Ritchie,ZA,2022-01-24 03:20:02,-29.038,24.6028,56.41,43,0,6.26
94,Wodonga,AU,2022-01-24 03:20:03,-36.1167,146.8833,87.28,67,100,2.3
95,Mar Del Plata,AR,2022-01-24 03:15:40,-38.0023,-57.5575,70.88,80,25,3.0
96,Ponta Do Sol,PT,2022-01-24 03:20:03,32.6667,-17.1,64.71,79,80,5.95
97,Mahebourg,MU,2022-01-24 03:20:03,-20.4081,57.7,84.25,94,40,0.0
98,Constitucion,CL,2022-01-24 03:16:27,-35.3333,-72.4167,57.24,86,0,13.87
99,Tuatapere,NZ,2022-01-24 03:16:31,-46.1333,167.6833,65.82,55,6,9.37
100,Chumikan,RU,2022-01-24 03:20:04,54.7183,135.315,0.14,86,33,20.09
101,Alghero,IT,2022-01-24 03:20:04,40.5589,8.3181,43.99,86,0,4.34
102,Ahipara,NZ,2022-01-24 03:20:04,-35.1667,173.1667,71.58,74,100,13.98
103,Dwarka,IN,2022-01-24 03:20:05,22.2394,68.9678,63.3,44,0,5.5
104,Husavik,IS,2022-01-24 03:20:05,66.0449,-17.3389,24.71,75,64,11.77
105,Boralday,KZ,2022-01-24 03:20:06,43.3578,76.8594,28.26,93,100,4.47
106,Nouadhibou,MR,2022-01-24 03:20:06,20.931,-17.0347,67.98,64,100,14.97
107,Richards Bay,ZA,2022-01-24 03:20:06,-28.783,32.0377,66.87,87,20,5.48
108,San Joaquin,US,2022-01-24 03:20:07,37.9333,-121.3011,54.0,77,0,4.61
109,Alofi,NU,2022-01-24 03:20:07,-19.0595,-169.9187,84.09,74,75,12.66
110,Turukhansk,RU,2022-01-24 03:20:07,65.8167,87.9833,-10.68,100,96,1.19
111,Datong,CN,2022-01-24 03:20:08,40.0936,113.2914,25.63,74,51,1.12
112,Beira,MZ,2022-01-24 03:20:08,-19.8436,34.8389,80.69,83,75,17.27
113,Santa Isabel Do Rio Negro,BR,2022-01-24 03:20:08,-0.4139,-65.0192,73.94,96,97,2.28
114,Burnie,AU,2022-01-24 03:20:09,-41.0667,145.9167,74.95,54,92,6.51
115,Yar-Sale,RU,2022-01-24 03:20:09,66.8333,70.8333,4.08,94,21,13.31
116,Mnogovershinnyy,RU,2022-01-24 03:20:09,53.9353,139.9242,4.19,80,34,6.55
117,Vestmannaeyjar,IS,2022-01-24 03:20:10,63.4427,-20.2734,34.72,72,100,24.79
118,Flinders,AU,2022-01-24 03:20:10,-34.5833,150.8552,79.38,67,85,3.0
119,Ashta,IN,2022-01-24 03:20:10,23.0167,76.7167,53.91,63,0,5.55
120,Haverfordwest,GB,2022-01-24 03:20:11,51.8017,-4.9691,40.8,88,90,1.01
121,Key West,US,2022-01-24 03:20:11,24.5557,-81.7826,68.0,64,20,12.66
122,Fereydun Kenar,IR,2022-01-24 03:20:12,36.6864,52.5225,30.51,53,0,4.47
123,Bambous Virieux,MU,2022-01-24 03:20:12,-20.3428,57.7575,84.22,94,40,0.0
124,Wesselsbron,ZA,2022-01-24 03:20:12,-27.8549,26.3658,53.67,56,0,5.39
125,Baoqing,CN,2022-01-24 03:20:13,46.3317,132.2111,13.01,75,5,4.16
126,Oskarshamn,SE,2022-01-24 03:20:13,57.2645,16.4484,41.99,88,87,13.65
127,Sao Filipe,CV,2022-01-24 03:20:13,14.8961,-24.4956,74.34,70,100,15.26
128,Jibuti,DJ,2022-01-24 03:20:14,11.5,42.5,69.22,78,65,9.62
129,Ambilobe,MG,2022-01-24 03:20:14,-13.2,49.05,72.88,98,100,2.15
130,Warmbad,NA,2022-01-24 03:20:14,-28.45,18.7333,77.59,41,100,8.77
131,Khani,GE,2022-01-24 03:19:00,41.9563,42.9566,36.97,76,73,7.76
132,Eyl,SO,2022-01-24 03:20:15,7.9803,49.8164,70.79,78,69,12.66
133,Prescott,US,2022-01-24 03:17:56,34.54,-112.4685,45.7,49,0,6.91
134,Kapaa,US,2022-01-24 03:20:15,22.0752,-159.319,78.78,76,40,1.01
135,Kruisfontein,ZA,2022-01-24 03:20:16,-34.0033,24.7314,70.27,43,0,10.89
136,Atuona,PF,2022-01-24 03:20:16,-9.8,-139.0333,78.51,74,11,16.31
137,Lavrentiya,RU,2022-01-24 03:20:16,65.5833,-171.0,7.99,97,100,4.74
138,Quatre Cocos,MU,2022-01-24 03:20:17,-20.2078,57.7625,84.09,76,12,8.59
139,Lebu,CL,2022-01-24 03:20:17,-37.6167,-73.65,57.88,93,3,9.42
140,Hay River,CA,2022-01-24 03:20:17,60.8156,-115.7999,-11.22,84,40,4.61
141,La Plata,AR,2022-01-24 03:20:18,-34.9215,-57.9545,75.0,82,100,5.77
142,Maua,BR,2022-01-24 03:20:18,-23.6678,-46.4614,73.36,87,33,1.97
143,Blackburn,GB,2022-01-24 03:17:24,53.75,-2.4833,38.19,89,24,3.0
144,Akyab,MM,2022-01-24 03:17:11,20.15,92.9,70.99,51,13,4.7
145,Denpasar,ID,2022-01-24 03:16:34,-8.65,115.2167,87.46,66,20,13.8
146,Mezen,RU,2022-01-24 03:20:19,65.8522,44.24,18.61,92,100,14.12
147,Unity,CA,2022-01-24 03:20:19,52.4501,-109.1682,17.26,93,100,11.61
148,Gillette,US,2022-01-24 03:20:19,44.2911,-105.5022,38.8,47,26,10.29
149,Moree,AU,2022-01-24 03:20:19,-29.4667,149.85,89.62,35,40,8.05
150,Mehamn,NO,2022-01-24 03:20:20,71.0357,27.8492,37.15,90,100,40.98
151,Saint-Philippe,RE,2022-01-24 03:20:20,-21.3585,55.7679,80.15,86,24,12.37
152,Oranjestad,AW,2022-01-24 03:18:08,12.524,-70.027,78.75,69,20,14.97
153,Rio Gallegos,AR,2022-01-24 03:20:20,-51.6226,-69.2181,53.65,58,0,23.02
154,Shelburne,CA,2022-01-24 03:15:37,44.0787,-80.2041,3.65,82,10,3.47
155,Vladesti,RO,2022-01-24 03:20:21,45.1167,24.3,20.37,67,41,5.03
156,Morrope,PE,2022-01-24 03:20:21,-6.5417,-80.0111,71.35,81,4,11.88
157,Wewak,PG,2022-01-24 03:20:22,-3.5534,143.6268,81.84,80,100,5.66
158,Avarua,CK,2022-01-24 03:20:22,-21.2078,-159.775,80.65,89,75,11.5
159,Mackay,AU,2022-01-24 03:20:22,-21.15,149.2,87.67,61,100,10.38
160,Maralal,KE,2022-01-24 03:20:23,1.0968,36.698,57.61,64,100,3.51
161,Lydenburg,ZA,2022-01-24 03:20:23,-25.0978,30.4597,54.27,95,14,3.29
162,Lompoc,US,2022-01-24 03:20:23,34.6391,-120.4579,62.13,67,0,4.61
163,Lagoa,PT,2022-01-24 03:20:23,39.05,-27.9833,59.0,63,3,8.12
164,Antofagasta,CL,2022-01-24 03:20:24,-23.65,-70.4,63.68,76,41,6.29
165,Victoria,HK,2022-01-24 03:16:13,22.2855,114.1577,73.96,89,99,3.0
166,Grand Gaube,MU,2022-01-24 03:20:24,-20.0064,57.6608,84.38,75,5,1.99
167,Lubango,AO,2022-01-24 03:20:24,-14.9172,13.4925,58.95,68,45,3.18
168,Qidong,CN,2022-01-24 03:20:25,31.8128,121.6561,47.03,78,100,12.59
169,Georgetown,MY,2022-01-24 03:20:25,5.4112,100.3354,85.93,80,20,3.44
170,Bozuyuk,TR,2022-01-24 03:20:26,39.9078,30.0367,17.94,94,79,6.35
171,Cockburn Town,TC,2022-01-24 03:15:56,21.4612,-71.1419,77.81,78,5,10.29
172,Cabo San Lucas,MX,2022-01-24 03:17:56,22.8909,-109.9124,69.51,73,100,0.0
173,Ulladulla,AU,2022-01-24 03:20:26,-35.35,150.4667,77.88,63,97,9.89
174,Sinnamary,GF,2022-01-24 03:20:27,5.3833,-52.95,75.31,90,48,6.87
175,Morehead,US,2022-01-24 03:20:28,37.2711,-87.1764,30.15,80,0,0.0
176,Deputatskiy,RU,2022-01-24 03:20:28,69.3,139.9,-22.43,98,100,5.21
177,Halifax,CA,2022-01-24 03:20:29,44.6453,-63.5724,33.85,90,100,1.01
178,Alpiarca,PT,2022-01-24 03:20:29,39.2571,-8.5819,49.24,92,8,6.31
179,Millau,FR,2022-01-24 03:20:30,44.0833,2.9167,35.38,77,0,4.52
180,Acapulco,MX,2022-01-24 03:15:59,16.8634,-99.8901,82.22,51,0,8.05
181,Jiujiang,CN,2022-01-24 03:20:30,29.7333,115.9833,45.46,86,100,11.56
182,Dadri,IN,2022-01-24 03:20:30,28.5667,77.55,52.02,89,1,4.25
183,Port Lincoln,AU,2022-01-24 03:20:31,-34.7333,135.8667,75.13,76,24,5.64
184,Carnarvon,AU,2022-01-24 03:20:31,-24.8667,113.6333,89.67,48,0,23.02
185,Klaksvik,FO,2022-01-24 03:20:31,62.2266,-6.589,40.12,65,89,31.21
186,Bredasdorp,ZA,2022-01-24 03:20:32,-34.5322,20.0403,66.27,82,54,10.51
187,Dunmore Town,BS,2022-01-24 03:20:32,25.5,-76.65,72.54,74,0,4.23
188,Guisa,CU,2022-01-24 03:20:32,20.255,-76.5386,71.91,84,82,2.51
189,Tandil,AR,2022-01-24 03:18:22,-37.3217,-59.1332,65.3,67,0,6.55
190,Byron Bay,AU,2022-01-24 03:20:33,-28.65,153.6167,83.05,62,77,13.15
